Va,Vb,Vc,Ia,Ib,Ic,fault_type
-13.86842116,4113.590805,-15.20143442,40.54809483,54.61298873,1372.880856,PACTG
-13.90132198,4013.787917,-15.18469128,65.61070617,54.26739198,1348.299232,PACTG
-13.93296101,3913.676024,-15.16661998,90.64381151,53.91873905,1323.621718,PACTG
-13.96364428,3813.284389,-15.14694891,115.9368667,53.56557544,1298.560092,PACTG
-13.9935803,3712.611227,-15.12552536,141.6715525,53.2063002,1272.934878,PACTG
-14.02279355,3611.62826,-15.10237502,167.8483418,52.83991649,1246.747717,PACTG
-14.05111219,3510.297515,-15.0776904,194.2855286,52.46650887,1220.181339,PACTG
-14.0782352,3408.592719,-15.0517541,220.6910588,52.08722887,1193.527274,PACTG
-14.10385271,3306.515563,-15.02482748,246.7784071,51.70379419,1167.070256,PACTG
-14.12777066,3204.099334,-14.9970492,272.38016,51.3177216,1140.97552,PACTG
-14.14998942,3101.398082,-14.9683829,297.5139134,50.92964418,1115.223961,PACTG
-14.17070374,2998.466223,-14.93863424,322.3741798,50.53903212,1089.62095,PACTG
-14.19022381,2895.337853,-14.90752945,347.2535979,50.14444427,1063.875182,PACTG
-14.20884903,2792.01523,-14.87482446,372.4249926,49.74419521,1037.715989,PACTG
-14.22674565,2688.471727,-14.84040125,398.0314535,49.33714034,1011.002264,PACTG
-14.24387806,2584.66802,-14.80431438,424.0283613,48.92321957,983.7795241,PACTG
-14.26002215,2480.574172,-14.76676958,450.2004901,48.50350453,956.2624507,PACTG
-14.2748552,2376.187497,-14.72804364,476.2472812,48.07972919,928.7499412,PACTG
